id,created_at,amenity_slug,description,website_url,logo_url,vibe_tags,booking_required,available_in_tr,price_level,opening_hours,terminal_code,airport_code,name
30000,2025-08-03T18:50:09.846Z,rhythm-of-nature-sinjewel,"",,,{Explore},false,true,$$,"{"Monday-Sunday": "24/7"}",SIN-JEWEL,SIN,"Rhythm of Nature"
30001,2025-08-03T18:50:09.847Z,fila-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "24/7"}",SIN-JEWEL,SIN,"FILA"
30002,2025-08-03T18:50:09.847Z,furla-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "24/7"}",SIN-JEWEL,SIN,"Furla"
30003,2025-08-03T18:50:09.847Z,irvins-salted-egg-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "24/7"}",SIN-JEWEL,SIN,"Irvins Salted Egg"
30004,2025-08-03T18:50:09.847Z,the-digital-gadgets-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "24/7"}",SIN-JEWEL,SIN,"The Digital Gadgets"
30005,2025-08-03T18:50:09.847Z,uniqlo-sinjewel,"",,,{Shop},false,true,$$,"{"Monday-Sunday": "24/7"}",SIN-JEWEL,SIN,"Uniqlo"
30006,2025-08-03T18:50:09.847Z,filajewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"fila-jewel"
30007,2025-08-03T18:50:09.847Z,furlajewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"furla-jewel"
30008,2025-08-03T18:50:09.847Z,irvinssaltedeggjewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"irvins-salted-egg-jewel"
30009,2025-08-03T18:50:09.847Z,rhythmofnature-sinjewel,"",,,{Explore},false,true,$$,"{}",SIN-JEWEL,SIN,"rhythm-of-nature"
30010,2025-08-03T18:50:09.847Z,thedigitalgadgetsjewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"the-digital-gadgets-jewel"
30011,2025-08-03T18:50:09.847Z,uniqlojewel-sinjewel,"",,,{Shop},false,true,$$,"{}",SIN-JEWEL,SIN,"uniqlo-jewel"
30012,2025-08-03T18:50:09.847Z,canopy-park-sinjewel,"Indoor park with nets, mazes and slides",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Canopy Park"
30013,2025-08-03T18:50:09.847Z,foggy-bowls-sinjewel,"Mist-filled play areas for children",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Foggy Bowls"
30014,2025-08-03T18:50:09.847Z,hedge-maze-sinjewel,"Singapore's largest hedge maze",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Hedge Maze"
30015,2025-08-03T18:50:09.847Z,manulife-sky-nets-sinjewel,"Walking and bouncing nets suspended in the air",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Manulife Sky Nets"
30016,2025-08-03T18:50:09.847Z,mirror-maze-sinjewel,"Immersive mirror maze experience",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Mirror Maze"
30017,2025-08-03T18:50:09.847Z,rain-vortex-sinjewel,"The world's tallest indoor waterfall",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Rain Vortex"
30018,2025-08-03T18:50:09.847Z,shiseido-forest-valley-sinjewel,"Lush indoor forest with walking trails",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Shiseido Forest Valley"
30019,2025-08-03T18:50:09.847Z,changi-experience-studio-sinjewel,"Interactive digital attraction about Changi Airport",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Changi Experience Studio"
30020,2025-08-03T18:50:09.847Z,social-tree-sinjewel,"Interactive installation for photo sharing",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Social Tree"
30021,2025-08-03T18:50:09.847Z,bengawan-solo-sinjewel,"Traditional Singaporean cakes and kueh",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Bengawan Solo"
30022,2025-08-03T18:50:09.847Z,tiger-street-lab-sinjewel,"Craft beer and local fare",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Tiger Street Lab"
30023,2025-08-03T18:50:09.847Z,din-tai-fung-sinjewel,"Renowned Taiwanese restaurant famous for xiaolongbao",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Din Tai Fung"
30024,2025-08-03T18:50:09.847Z,koi-th-sinjewel,"Premium Taiwanese bubble tea",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Koi Thé"
30025,2025-08-03T18:50:09.847Z,song-fa-bak-kut-teh-sinjewel,"Award-winning pork rib soup",,,{},false,true,$$,"{}",SIN-JEWEL,SIN,"Song Fa Bak Kut Teh"
